"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","51,081,199","77,370","8,202,752,084","157.25","164.55","155.35","164.55","+","3.75","164.55","84","164.60","23","0.00",
="0051","元大中型100","300,971","584","18,814,121","63.00","64.45","60.40","64.45","+","0.95","64.40","5","64.45","1","0.00",
="0052","富邦科技","2,856,183","2,051","447,962,624","151.00","160.65","149.70","160.65","+","6.30","160.65","4","160.70","1","0.00",
="0053","元大電子","69,825","125","5,803,493","82.60","85.15","81.00","85.15","+","2.05","84.00","1","85.50","1","0.00",
="0055","元大MSCI金融","559,930","588","14,451,446","26.48","26.48","25.55","26.05","-","0.55","26.01","3","26.05","2","0.00",
="0056","元大高股息","188,197,093","86,641","5,915,961,756","30.78","32.21","30.20","32.21","+","0.66","32.21","233","32.22","110","0.00",
="0057","富邦摩台","24,100","23","2,890,957","120.45","121.30","117.80","121.30","+","0.60","122.00","20","122.45","1","0.00",
="0061","元大寶滬深","431,924","199","7,861,598","18.29","18.35","17.91","18.35","+","0.06","18.32","57","18.35","2","0.00",
="006203","元大MSCI台灣","9,222","15","687,778","74.55","75.80","72.60","75.80","+","1.20","74.95","1","75.85","1","0.00",
="006204","永豐臺灣加權","58,937","38","5,735,602","93.60","98.30","93.60","98.30","+","1.15","98.35","50","99.90","15","0.00",
="006205","富邦上証","647,595","248","20,658,356","31.65","32.04","31.60","32.00","+","0.20","32.00","70","32.01","6","0.00",
="006206","元大上證50","69,208","151","2,114,958","29.20","30.76","29.20","30.60","+","0.12","30.57","106","30.62","1","0.00",
="006207","復華滬深","710,034","213","17,024,781","23.95","24.05","23.87","24.05","+","0.10","24.05","27","24.06","50","0.00",
="006208","富邦台50","21,534,029","37,191","2,036,582,325","92.10","96.80","91.10","96.80","+","2.35","96.75","6","96.80","2","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.16","5","7.25","5","0.00",
="00631L","元大台灣50正2","35,269,459","20,849","5,377,419,187","144.00","160.10","143.60","160.10","+","8.40","160.10","109","160.15","4","0.00",
="00632R","元大台灣50反1","185,858,054","35,329","4,931,406,847","27.17","27.58","25.72","25.72","-","0.91","25.71","131","25.72","563","0.00",
="00633L","富邦上証正2","11,399,880","1,191","405,443,119","35.02","35.99","35.02","35.94","+","0.51","35.94","34","35.95","49","0.00",
="00634R","富邦上証反1","581,988","86","2,394,584","4.13","4.14","4.09","4.09","-","0.03","4.09","3","4.10","264","0.00",
="00635U","期元大S&P黃金","8,904,580","3,078","321,174,226","36.56","36.56","35.88","36.03","+","0.96","36.02","71","36.03","2","0.00",
="00636","國泰中國A50","1,288,309","521","28,489,236","22.10","22.25","21.97","22.25","+","0.13","22.25","114","22.26","51","0.00",
="00636K","國泰中國A50+U","200","2","1,354","6.77","6.77","6.77","6.77","+","0.04","6.78","10","6.82","2","0.00",
="00637L","元大滬深300正2","73,194,079","6,932","1,056,357,307","14.27","14.62","14.22","14.60","+","0.22","14.59","579","14.60","504","0.00",
="00638R","元大滬深300反1","524,249","113","4,567,027","8.76","8.77","8.67","8.67","-","0.09","8.66","158","8.67","22","0.00",
="00639","富邦深100","2,150,765","342","23,637,749","11.01","11.10","10.90","11.10","+","0.09","11.10","55","11.11","52","0.00",
="00640L","富邦日本正2","3,450,121","1,166","140,599,876","40.03","41.89","39.81","41.85","-","2.27","41.85","3","41.88","2","0.00",
="00641R","富邦日本反1","6,730,696","398","43,872,059","6.61","6.63","6.48","6.48","+","0.19","6.47","11","6.48","297","0.00",
="00642U","期元大S&P石油","6,371,022","1,448","92,412,138","14.51","14.63","14.44","14.63","-","0.32","14.62","553","14.64","30","0.00",
="00643","群益深証中小","6,695,029","770","82,686,725","12.30","12.47","12.24","12.44","+","0.09","12.44","113","12.45","5","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.82","2","2.85","1","0.00",
="00645","富邦日本","964,087","802","32,566,728","33.50","34.00","33.37","33.99","-","1.19","33.99","129","34.01","2","0.00",
="00646","元大S&P500","4,214,441","4,028","226,836,205","53.45","54.35","53.15","54.35","-","1.45","54.35","2","54.40","1,004","0.00",
="00647L","元大S&P500正2","1,423,372","958","104,661,135","72.10","74.85","71.80","74.85","-","3.50","74.75","5","74.85","93","0.00",
="00648R","元大S&P500反1","5,907,167","496","33,888,333","5.80","5.80","5.67","5.68","+","0.13","5.67","9","5.68","95","0.00",
="00650L","復華香港正2","25,049,637","2,865","303,277,501","11.97","12.55","11.86","12.55","+","0.15","12.55","21","12.56","21","0.00",
="00651R","復華香港反1","3,276,519","341","22,951,579","7.02","7.10","6.90","6.90","-","0.02","6.89","43","6.90","586","0.00",
="00652","富邦印度","348,699","299","12,373,198","35.91","35.91","35.34","35.50","-","0.74","35.50","4","35.55","22","0.00",
="00653L","富邦印度正2","475,359","233","24,012,793","49.90","50.80","49.90","50.55","-","1.85","50.45","3","50.55","24","0.00",
="00654R","富邦印度反1","673,772","110","4,706,058","6.92","7.02","6.92","6.96","+","0.09","6.96","100","6.99","20","0.00",
="00655L","國泰中國A50正2","3,459,111","480","83,057,872","23.66","24.29","23.66","24.29","+","0.36","24.26","5","24.29","84","0.00",
="00656R","國泰中國A50反1","469,826","76","3,602,322","7.71","7.72","7.62","7.62","-","0.07","7.62","259","7.64","191","0.00",
="00657","國泰日經225","294,903","112","11,615,682","39.03","39.65","39.03","39.65","-","1.27","39.65","86","39.66","30","0.00",
="00657K","國泰日經225+U","200","2","2,426","12.13","12.13","12.13","12.13","-","0.32","--","0","--","0","0.00",
="00660","元大歐洲50","223,307","268","7,896,398","35.34","35.58","34.84","35.46","-","1.22","35.35","10","35.46","7","0.00",
="00661","元大日經225","560,696","193","24,045,207","44.00","44.00","42.47","43.27","-","1.43","43.27","84","43.28","1","0.00",
="00662","富邦NASDAQ","4,314,068","3,821","331,823,306","76.30","77.65","75.95","77.65","-","2.30","77.65","50","77.80","1","0.00",
="00663L","國泰臺灣加權正2","146,904","155","20,555,355","131.70","146.10","131.50","146.10","+","7.75","146.10","1","146.55","50","0.00",
="00664R","國泰臺灣加權反1","68,579,051","4,161","293,467,106","4.36","4.49","4.16","4.17","-","0.13","4.16","657","4.17","1,041","0.00",
="00665L","富邦恒生國企正2","63,275,167","5,617","551,027,337","8.53","9.04","8.48","9.04","+","0.22","9.04","639","9.05","138","0.00",
="00666R","富邦恒生國企反1","997,525","181","11,018,879","11.15","11.23","10.89","10.89","-","0.19","10.88","54","10.89","8","0.00",
="00668","國泰美國道瓊","98,635","179","4,616,453","46.65","47.19","46.38","47.16","-","1.39","47.15","22","47.16","10","0.00",
="00668K","國泰美國道瓊+U","200","2","2,940","14.70","14.70","14.70","14.70","-","0.06","--","0","--","0","0.00",
="00669R","國泰美國道瓊反1","9,204,810","594","65,509,316","7.10","7.16","7.04","7.04","+","0.10","7.04","1,815","7.05","8","0.00",
="00670L","富邦NASDAQ正2","6,334,183","4,204","587,702,362","90.55","95.20","90.20","95.20","-","4.65","95.15","5","95.20","44","0.00",
="00671R","富邦NASDAQ反1","45,114,557","1,547","177,454,599","3.95","3.98","3.89","3.94","+","0.13","3.93","86","3.94","317","0.00",
="00673R","期元大S&P原油反1","18,896,613","1,252","152,488,536","8.05","8.11","8.00","8.01","+","0.16","8.00","68","8.01","10,104","0.00",
="00674R","期元大S&P黃金反1","3,837,261","540","30,499,611","8.06","8.06","7.89","7.96","-","0.24","7.95","25","7.96","387","0.00",
="00675L","富邦臺灣加權正2","21,018,563","10,765","1,262,511,900","57.00","63.50","56.80","63.50","+","3.10","63.50","255","63.55","6","0.00",
="00676R","富邦臺灣加權反1","13,687,081","1,424","198,272,302","14.90","14.95","14.07","14.07","-","0.37","14.06","13","14.07","93","0.00",
="00678","群益那斯達克生技","394,178","99","9,691,491","24.50","24.71","24.45","24.62","-","0.68","24.59","1","24.62","9","0.00",
="00680L","元大美債20正2","91,822,107","6,665","656,782,279","7.10","7.22","7.06","7.19","-","0.51","7.18","532","7.19","3,977","0.00",
="00681R","元大美債20反1","3,328,311","107","72,052,326","21.81","21.82","21.65","21.70","+","0.74","21.66","15","21.70","71","0.00",
="00682U","期元大美元指數","83,479","24","1,701,160","20.52","20.52","20.36","20.38","-","0.45","20.38","57","20.40","2","0.00",
="00683L","期元大美元指正2","474,274","95","10,122,103","21.27","21.47","21.21","21.41","-","1.04","21.40","5","21.41","50","0.00",
="00684R","期元大美元指反1","342,952","104","5,377,794","15.60","15.71","15.60","15.71","+","0.38","15.71","2","15.72","23","0.00",
="00685L","群益臺灣加權正2","4,049,904","1,998","222,117,975","51.60","57.40","51.50","57.40","+","3.05","57.35","10","57.40","52","0.00",
="00686R","群益臺灣加權反1","15,360,762","1,129","40,132,567","2.69","2.75","2.52","2.52","-","0.09","2.52","921","2.53","801","0.00",
="00688L","國泰20年美債正2","45,147,521","3,307","321,063,205","7.03","7.18","7.03","7.14","-","0.52","7.14","38","7.15","4,306","0.00",
="00689R","國泰20年美債反1","380,000","24","8,537,690","22.51","22.54","22.42","22.42","+","0.64","22.47","108","22.51","100","0.00",
="00690","兆豐藍籌30","1,612,356","704","47,696,066","28.83","30.36","28.52","30.36","+","0.77","30.36","73","30.47","3","0.00",
="00692","富邦公司治理","4,606,401","2,761","173,023,703","36.88","38.36","36.35","38.36","+","0.77","38.36","70","38.39","1","0.00",
="00693U","期街口S&P黃豆","280,693","104","5,633,648","19.99","20.14","19.98","20.13","+","0.15","20.12","1","20.14","5","0.00",
="00700","富邦恒生國企","791,850","346","12,778,833","16.00","16.40","15.81","16.40","+","0.20","16.39","55","16.40","12","0.00",
="00701","國泰股利精選30","1,562,532","1,165","41,496,598","26.68","26.71","26.35","26.63","-","0.71","26.63","3","26.65","1","0.00",
="00702","國泰標普低波高息","31,285","68","726,589","23.48","23.48","23.20","23.22","-","0.62","23.19","1","23.22","11","0.00",
="00703","台新MSCI中國","256,904","97","4,586,744","18.45","18.45","17.79","18.11","-","0.06","18.11","54","18.18","1","0.00",
="00706L","期元大S&P日圓正2","38,852,400","2,923","256,550,706","6.59","6.64","6.57","6.62","+","0.27","6.61","127","6.62","2,669","0.00",
="00707R","期元大S&P日圓反1","44,000","4","1,239,870","28.08","28.19","28.08","28.12","X","0.00","28.01","24","28.12","19","0.00",
="00708L","期元大S&P黃金正2","6,938,666","1,990","388,151,512","55.60","56.30","55.55","55.95","+","2.90","55.95","9","56.00","23","0.00",
="00709","富邦歐洲","431,937","760","13,035,527","30.90","30.90","30.00","30.26","-","0.90","30.28","1","30.33","10","0.00",
="00710B","復華彭博非投等債","377,020","104","7,235,844","19.37","19.37","19.07","19.19","-","0.37","19.18","31","19.19","4","0.00",
="00711B","復華彭博新興債","332,090","81","5,149,699","15.51","15.55","15.39","15.49","-","0.50","15.49","31","15.50","3","0.00",
="00712","復華富時不動產","124,952,951","32,679","1,048,662,701","8.40","8.48","8.28","8.47","-","0.67","8.47","1,411","8.48","14","0.00",
="00713","元大台灣高息低波","38,529,378","32,229","1,904,516,180","48.99","49.76","48.45","49.70","-","1.25","49.70","101","49.71","18","0.00",
="00714","群益道瓊美國地產","335,630","102","6,595,029","19.59","19.71","19.53","19.71","-","0.45","19.71","47","19.73","36","0.00",
="00715L","期街口布蘭特正2","92,905,683","10,240","923,298,284","9.96","10.12","9.85","10.12","-","0.39","10.12","78","10.13","2,670","0.00",
="00717","富邦美國特別股","82,913","129","1,232,311","14.89","14.89","14.80","14.86","-","0.33","14.85","21","14.86","3","0.00",
="00728","第一金工業30","631,285","263","16,297,216","25.86","26.30","25.07","26.30","+","0.42","26.29","1","26.33","1","0.00",
="00730","富邦臺灣優質高息","568,228","381","11,582,223","20.11","20.68","19.63","20.64","+","0.40","20.62","1","20.64","3","0.00",
="00731","復華富時高息低波","2,419,692","594","152,546,459","62.55","63.30","62.10","63.25","-","0.90","63.20","129","63.25","9","0.00",
="00733","富邦臺灣中小","7,159,085","3,256","256,792,470","35.60","37.00","34.30","36.97","+","0.94","36.96","8","36.97","20","0.00",
="00735","國泰臺韓科技","190,267","115","5,462,890","28.04","28.94","27.99","28.94","-","0.20","28.92","1","29.00","15","0.00",
="00736","國泰新興市場","178,019","182","3,985,087","22.20","22.47","22.15","22.47","+","0.27","22.47","1","22.55","5","0.00",
="00737","國泰AI機器人","83,010","133","2,281,685","27.24","28.02","27.09","28.00","-","0.99","28.00","1","28.03","136","0.00",
="00738U","期元大道瓊白銀","5,723,844","677","155,125,349","27.21","27.26","26.91","27.26","+","0.10","27.25","1","27.26","33","0.00",
="00739","元大MSCI A股","74,587","84","1,590,870","21.23","21.64","21.23","21.50","+","0.26","21.61","47","21.68","22","0.00",
="00752","中信中國50","3,608,127","1,114","79,414,520","21.99","22.31","21.60","22.31","-","0.09","22.31","40","22.32","7","0.00",
="00753L","中信中國50正2","57,681,924","6,893","494,677,429","8.34","8.80","8.33","8.80","+","0.06","8.80","269","8.81","17","0.00",
="00757","統一FANG+","5,275,413","9,600","463,256,484","86.80","88.85","86.65","88.85","-","2.65","88.85","14","89.00","4","0.00",
="00762","元大全球AI","411,136","766","22,959,669","55.40","56.55","55.00","56.55","-","2.20","56.45","2","56.55","19","0.00",
="00763U","期街口道瓊銅","414,098","144","10,631,499","25.84","25.84","25.49","25.83","-","0.34","25.83","53","25.92","110","0.00",
="00770","國泰北美科技","1,510,017","1,345","59,437,682","39.60","39.83","38.79","39.82","-","1.36","39.82","14","39.83","5","0.00",
="00771","元大US高息特別股","16,152","76","262,463","16.45","16.45","16.03","16.24","-","0.44","16.18","26","16.24","18","0.00",
="00775B","新光投等債15+","1,428","7","45,562","31.92","31.92","31.92","31.92","-","1.07","31.88","25","31.96","1","0.00",
="00783","富邦中証500","91,209","21","1,742,010","19.06","19.20","18.99","19.20","+","0.21","19.22","30","19.23","38","0.00",
="00830","國泰費城半導體","26,258,623","13,228","866,157,116","32.48","33.65","32.30","33.65","-","1.73","33.65","70","33.66","63","0.00",
="00850","元大臺灣ESG永續","3,876,733","3,207","147,125,172","37.33","38.65","36.33","38.63","+","0.97","38.61","7","38.63","11","0.00",
="00851","台新全球AI","605,354","120","25,458,297","42.29","42.40","41.40","42.40","-","0.75","42.16","1","42.21","6","0.00",
="00852L","國泰美國道瓊正2","1,890,191","579","41,281,464","21.37","22.25","21.37","22.25","-","0.90","22.24","5","22.25","88","0.00",
="00861","元大全球未來通訊","64,784","145","2,499,183","38.59","38.90","38.02","38.77","-","1.35","38.86","50","39.02","1","0.00",
="00865B","國泰US短期公債","148,278","125","7,061,842","47.86","48.00","47.53","47.53","-","0.33","47.53","26","47.57","1","0.00",
="00875","國泰網路資安","215,415","142","7,495,857","34.32","35.20","34.32","35.20","-","0.65","35.20","38","35.26","4","0.00",
="00876","元大全球5G","247,489","545","7,842,298","31.87","31.99","31.28","31.99","-","0.74","31.98","1","31.99","7","0.00",
="00878","國泰永續高股息","211,429,337","79,481","4,084,091,485","18.89","19.69","18.60","19.68","+","0.10","19.68","452","19.69","399","0.00",
="00881","國泰台灣科技龍頭","31,263,318","7,374","607,719,047","18.71","20.02","18.43","20.01","+","0.92","20.01","296","20.02","22","0.00",
="00882","中信中國高股息","16,596,679","3,355","208,883,096","12.50","12.72","12.43","12.72","+","0.06","12.72","141","12.73","28","0.00",
="00885","富邦越南","16,393,607","1,756","185,766,022","11.18","11.52","10.94","11.52","-","0.04","11.51","35","11.52","181","0.00",
="00891","中信關鍵半導體","10,979,418","3,211","164,212,081","14.50","15.49","14.30","15.49","+","0.66","15.48","280","15.49","27","0.00",
="00892","富邦台灣半導體","2,912,585","910","40,139,826","13.43","14.24","13.21","14.24","+","0.59","14.23","11","14.24","8","0.00",
="00893","國泰智能電動車","3,926,762","1,310","77,363,329","19.50","19.95","19.13","19.95","-","0.45","19.95","221","19.98","5","0.00",
="00894","中信小資高價30","3,614,347","1,348","57,417,055","15.11","16.30","15.00","16.30","+","0.78","16.30","45","16.31","1","0.00",
="00895","富邦未來車","3,141,881","1,088","80,538,016","25.63","25.94","25.06","25.93","-","0.73","25.93","4","25.97","18","0.00",
="00896","中信綠能及電動車","2,114,156","787","28,982,808","13.53","14.09","13.32","14.09","+","0.33","14.09","73","14.10","5","0.00",
="00897","富邦基因免疫生技","461,529","293","2,916,932","6.30","6.36","6.22","6.36","-","0.20","6.36","99","6.38","100","0.00",
="00898","國泰基因免疫革命","457,495","188","2,788,588","6.13","6.17","6.07","6.17","-","0.19","6.17","1","6.19","120","0.00",
="00899","FT潔淨能源","197,112","93","2,579,956","13.05","13.19","13.03","13.12"," ","0.00","13.12","51","13.15","1","0.00",
