日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2025-11-10,00713,元大台灣高息低波,6273,"6,393","321,449,833",51.35,51.40,51.10,51.20,0.00,,,
2025-11-07,00713,元大台灣高息低波,6538,"4,620","335,477,094",51.30,51.45,51.15,51.30,0.00,-788.0,-34.0,4293.0
2025-11-06,00713,元大台灣高息低波,8520,"5,191","438,520,441",51.55,51.60,51.30,51.55,0.00,436.0,0.0,5069.0
2025-11-05,00713,元大台灣高息低波,11508,"11,231","587,636,672",51.00,51.40,50.80,51.40,0.00,-1466.0,-100.0,4786.0
2025-11-04,00713,元大台灣高息低波,7120,"5,859","367,171,328",51.80,51.90,51.35,51.40,0.00,-32.0,-60.0,2996.0
2025-11-03,00713,元大台灣高息低波,12389,"7,320","638,966,426",51.30,51.70,51.25,51.65,0.00,1504.0,-175.0,6747.0
2025-10-31,00713,元大台灣高息低波,9861,"5,462","507,354,698",51.45,51.60,51.30,51.35,0.00,1232.0,0.0,5726.0
2025-10-30,00713,元大台灣高息低波,13364,"11,726","685,497,927",51.45,51.50,51.15,51.35,0.00,160.0,-250.0,4500.0
2025-10-29,00713,元大台灣高息低波,12171,"7,425","627,072,191",51.65,51.70,51.40,51.50,0.00,3830.0,-75.0,4911.0
2025-10-28,00713,元大台灣高息低波,7920,"7,175","408,046,794",51.80,51.80,51.45,51.50,0.00,-471.0,0.0,2577.0
2025-10-27,00713,元大台灣高息低波,10382,"9,937","537,309,596",52.05,52.10,51.65,51.80,0.00,-875.0,0.0,3168.0
2025-10-23,00713,元大台灣高息低波,6040,"4,698","313,126,100",51.95,51.95,51.80,51.90,0.00,-900.0,-220.0,3401.0
2025-10-22,00713,元大台灣高息低波,15069,"6,830","781,539,056",51.60,52.05,51.55,51.95,0.00,2269.0,-25.0,10378.0
2025-10-21,00713,元大台灣高息低波,12949,"6,950","669,309,287",51.70,51.80,51.55,51.60,0.00,3528.0,0.0,6578.0
2025-10-20,00713,元大台灣高息低波,11826,"7,685","609,292,065",51.60,51.65,51.35,51.50,0.00,1185.0,-212.0,5022.0
2025-10-17,00713,元大台灣高息低波,11185,"8,313","576,188,505",51.45,51.65,51.40,51.40,0.00,3204.0,-394.0,4951.0
2025-10-16,00713,元大台灣高息低波,10911,"6,885","561,706,251",51.55,51.65,51.30,51.45,0.00,2866.0,0.0,4997.0
2025-10-15,00713,元大台灣高息低波,8498,"7,655","434,914,264",51.15,51.30,51.05,51.25,0.00,148.0,0.0,5096.0
2025-10-14,00713,元大台灣高息低波,17187,"8,493","885,023,200",51.35,51.75,51.10,51.15,0.00,7846.0,0.0,5561.0
