證券代號,證券名稱,國際證券辨識號碼,上市日期,市場別,產業別
0050,元大台灣50,TW0000050004,2003/06/30,上市,
0051,元大中型100,TW0000051002,2006/08/31,上市,
0052,富邦科技,TW0000052000,2006/09/12,上市,
0053,元大電子,TW0000053008,2007/07/16,上市,
0055,元大MSCI金融,TW0000055003,2007/07/16,上市,
0056,元大高股息,TW0000056001,2007/12/26,上市,
0057,富邦摩台,TW0000057009,2008/02/27,上市,
0061,元大寶滬深,TW0000061001,2009/08/17,上市,
00636,國泰中國A50,TW0000063601,2015/04/01,上市,
00639,富邦深100,TW0000063908,2015/06/09,上市,
00643,群益深証中小,TW0000064302,2015/12/02,上市,
00645,富邦日本,TW0000064500,2015/11/06,上市,
00646,元大S&P500,TW0000064609,2015/12/14,上市,
00652,富邦印度,TW0000065200,2016/03/29,上市,
00657,國泰日經225,TW0000065705,2016/05/09,上市,
00660,元大歐洲50,TW0000066000,2016/07/15,上市,
00661,元大日經225,TW0000066109,2016/07/15,上市,
00662,富邦NASDAQ,TW0000066208,2016/06/24,上市,
00668,國泰美國道瓊,TW0000066802,2016/10/17,上市,
00678,群益那斯達克生技,TW0000067800,2017/01/09,上市,
00690,兆豐藍籌30,TW0000069004,2017/03/31,上市,
00692,富邦公司治理,TW0000069202,2017/05/17,上市,
00700,富邦�琤肭磪�,TW0000070002,2017/07/21,上市,
00701,國泰股利精選30,TW0000070101,2017/08/17,上市,
00702,國泰標普低波高息,TW0000070200,2017/08/17,上市,
00703,台新MSCI中國,TW0000070309,2017/08/10,上市,
00709,富邦歐洲,TW0000070903,2017/08/15,上市,
00712,復華富時不動產,TW0000071208,2017/08/21,上市,
00713,元大台灣高息低波,TW0000071307,2017/09/27,上市,
00714,群益道瓊美國地產,TW0000071406,2017/10/27,上市,
00717,富邦美國特別股,TW0000071703,2017/11/29,上市,
00728,第一金工業30,TW0000072800,2018/04/18,上市,
00730,富邦臺灣優質高息,TW0000073006,2018/02/08,上市,
00731,復華富時高息低波,TW0000073105,2018/04/20,上市,
00733,富邦臺灣中小,TW0000073303,2018/05/17,上市,
00735,國泰臺韓科技,TW0000073501,2018/06/11,上市,
00736,國泰新興市場,TW0000073600,2018/06/11,上市,
00737,國泰AI機器人,TW0000073709,2018/06/11,上市,
00739,元大MSCI A股,TW0000073907,2018/06/27,上市,
00752,中信中國50,TW0000075209,2018/10/31,上市,
00757,統一FANG+,TW0000075704,2018/12/06,上市,
00762,元大全球AI,TW0000076207,2019/01/23,上市,
00770,國泰北美科技,TW0000077007,2019/01/29,上市,
00771,元大US高息特別股,TW0000077106,2019/05/16,上市,
00783,富邦中証500,TW0000078302,2019/03/27,上市,
