證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"491,670",653,"22,073,957",45.50,46.00,44.29,44.35,-,1.85,44.35,1,44.77,37,
00679B,元大美債20年,"22,294,487","4,775","584,777,989",26.19,26.27,26.19,26.22,+,0.06,26.22,475,26.23,132,
00687B,國泰20年美債,"18,898,174","2,965","515,065,236",27.22,27.30,27.21,27.26,+,0.07,27.25,101,27.26,414,
00687C,國泰20年美債+櫃U,"25,000",2,"227,250",9.09,9.09,9.09,9.09,+,0.02,9.07,24,9.09,24,
00694B,富邦美債1-3,"519,383",67,"21,572,602",41.52,41.61,41.47,41.60,-,0.01,41.60,5,41.61,31,
00695B,富邦美債7-10,"784,521",58,"27,316,642",34.80,34.88,34.78,34.84,+,0.08,34.84,32,34.87,87,
00696B,富邦美債20年,"2,715,089",233,"76,809,273",28.25,28.32,28.25,28.27,+,0.03,28.27,304,28.29,36,
00697B,元大美債7-10,"1,335,568",193,"47,149,865",35.27,35.40,35.26,35.38,+,0.09,35.38,2,35.39,214,
00719B,元大美債1-3,"3,161,770",597,"97,711,179",30.86,30.95,30.85,30.94,+,0.02,30.93,183,30.94,219,
00720B,元大投資級公司債,"10,960,474","1,932","356,148,354",32.48,32.53,32.46,32.47,-,0.01,32.47,41,32.48,47,
00722B,群益投資級電信債,"2,950,380",351,"104,385,501",35.30,35.42,35.30,35.37,-,0.0,35.37,14,35.38,77,
00723B,群益投資級科技債,"128,043",14,"3,878,706",30.28,30.31,30.27,30.27,-,0.02,30.24,156,30.26,1,
00724B,群益投資級金融債,"2,737,217",322,"91,195,541",33.30,33.40,33.29,33.29,-,0.02,33.29,5,33.31,57,
00725B,國泰投資級公司債,"3,928,298","1,039","135,861,849",34.58,34.62,34.56,34.57,+,0.01,34.56,48,34.57,156,
00726B,國泰新興投等債,"192,416",85,"6,246,313",32.43,32.48,32.42,32.46,-,0.0,32.47,1,32.49,1,
00727B,國泰優選非投等債,"403,407",28,"15,820,822",39.11,39.28,39.11,39.27,+,0.03,39.21,2,39.25,4,
00734B,台新JPM新興債,"1,000",1,"15,640",15.64,15.64,15.64,15.64,+,0.09,15.51,20,15.53,1,
00740B,富邦全球投等債,"1,425,772",344,"54,268,840",38.16,38.16,38.02,38.05,,,38.04,27,38.05,98,
00741B,富邦全球非投等債,"118,527",34,"4,399,760",37.20,37.20,37.10,37.12,,,37.11,3,37.12,2,
00746B,富邦A級公司債,"1,056,700",90,"37,011,470",35.07,35.07,34.99,35.01,+,0.01,34.99,10,35.00,10,
