日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-15,3265,台星科,11764,"12,701","1,693,395,304",142.00,148.50,140.00,144.50,,-374,-1,9
2026-01-14,3265,台星科,5087,"7,052","705,102,197",138.00,141.00,136.00,138.00,,-406,0,-7
2026-01-13,3265,台星科,13656,"15,398","1,870,493,268",132.00,142.00,128.00,139.00,,1521,-1,105
2026-01-12,3265,台星科,5445,"7,357","708,751,049",129.50,133.00,126.50,130.00,,-541,366,-11
2026-01-09,3265,台星科,5045,"4,306","633,628,662",124.00,127.50,121.50,127.00,,-53,11,65
2026-01-08,3265,台星科,2150,"1,971","260,134,407",123.50,123.50,119.50,122.50,,283,330,-38
2026-01-07,3265,台星科,2276,"2,002","280,517,441",123.00,125.00,121.00,123.00,,232,0,-24
2026-01-06,3265,台星科,2598,"2,330","319,962,509",122.00,126.00,121.00,122.00,,-96,-1,22
2026-01-05,3265,台星科,3776,"3,256","458,007,711",125.50,125.50,119.00,121.00,,490,0,-127
2026-01-02,3265,台星科,4256,"3,932","537,326,554",129.00,129.50,124.00,124.50,,-502,1,-57
2025-12-31,3265,台星科,9431,"7,958","1,202,152,124",123.00,131.50,122.00,126.50,,348,46,-50
2025-12-30,3265,台星科,5058,"4,274","622,263,163",120.00,125.50,119.00,122.50,,-523,50,36
2025-12-29,3265,台星科,4426,"4,257","533,470,952",123.50,123.50,118.50,122.00,,-231,50,-47
2025-12-26,3265,台星科,11157,"10,837","1,381,052,187",119.50,127.50,119.00,122.50,,-1002,0,248
2025-12-24,3265,台星科,14324,"10,155","1,708,936,850",116.50,121.00,116.00,118.50,,-243,0,43
2025-12-23,3265,台星科,2544,"2,076","278,321,027",108.00,111.00,107.00,110.00,,451,0,38
2025-12-22,3265,台星科,2165,"1,819","233,088,520",106.00,109.50,105.50,108.00,,303,0,47
2025-12-19,3265,台星科,2653,"2,438","280,438,480",102.50,109.50,102.50,104.00,,11,0,57
2025-12-18,3265,台星科,646,688,"65,224,250",102.00,103.00,100.00,100.00,,7,0,-9
2025-12-17,3265,台星科,922,952,"94,435,977",101.50,103.00,101.00,102.00,,-115,0,2
2025-12-16,3265,台星科,1962,"1,993","197,655,288",104.00,104.00,98.20,100.50,,-319,0,-89
2025-12-15,3265,台星科,3009,"2,397","312,674,950",105.00,106.00,102.00,105.50,,-329,0,28
