證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00679B,元大美債20年,"5,387,040","578,350","4,808,690",0.0,0.0,0.0,0,0,0,"-10,137,192","10,000","2,644,000","-2,634,000","7,987,000","15,490,192","-7,503,192","-5,328,502"
00687B,國泰20年美債,"2,890,000","233,000","2,657,000",0.0,0.0,0.0,0,0,0,"-9,860,952","900,000",0,"900,000","5,634,999","16,395,951","-10,760,952","-7,203,952"
00687C,國泰20年美債+櫃U,0,0,0,0.0,0.0,0.0,0,0,0,-300,0,0,0,"50,700","51,000",-300,-300
00694B,富邦美債1-3,0,0,0,0.0,0.0,0.0,0,0,0,"8,000",0,0,0,"194,000","186,000","8,000","8,000"
00695B,富邦美債7-10,0,0,0,0.0,0.0,0.0,0,0,0,"18,120",0,0,0,"267,000","248,880","18,120","18,120"
00696B,富邦美債20年,"7,000","508,000","-501,000",0.0,0.0,0.0,0,0,0,"414,390","171,000",0,"171,000","3,894,000","3,650,610","243,390","-86,610"
00697B,元大美債7-10,"14,000","34,000","-20,000",0.0,0.0,0.0,0,0,0,"402,000",0,0,0,"508,000","106,000","402,000","382,000"
00718B,富邦中國政策債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00719B,元大美債1-3,"38,000","169,000","-131,000",0.0,0.0,0.0,0,0,0,"-677,420","20,000",0,"20,000","229,000","926,420","-697,420","-808,420"
00720B,元大投資級公司債,"2,000","5,847,000","-5,845,000",0.0,0.0,0.0,0,0,0,"1,062,212","4,000",0,"4,000","1,998,000","939,788","1,058,212","-4,782,788"
00722B,群益投資級電信債,"5,000","385,000","-380,000",0.0,0.0,0.0,0,0,0,"5,260","2,000",0,"2,000","275,000","271,740","3,260","-374,740"
00723B,群益投資級科技債,"8,000","1,000","7,000",0.0,0.0,0.0,0,0,0,"-12,000",0,0,0,"101,000","113,000","-12,000","-5,000"
00724B,群益投資級金融債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-23,717","750,000","753,000","-3,000","4,418,000","4,438,717","-20,717","-24,717"
00725B,國泰投資級公司債,"731,000","4,723,000","-3,992,000",0.0,0.0,0.0,0,0,0,"-3,994,802","353,000",0,"353,000","2,834,000","7,181,802","-4,347,802","-7,986,802"
00726B,國泰新興投等債,"3,000","4,000","-1,000",0.0,0.0,0.0,0,0,0,"17,710",0,0,0,"118,000","100,290","17,710","16,710"
00727B,國泰優選非投等債,"1,000","42,000","-41,000",0.0,0.0,0.0,0,0,0,"39,550",0,0,0,"112,428","72,878","39,550","-1,450"
00734B,台新JPM新興債,0,0,0,0.0,0.0,0.0,0,0,0,"4,000",0,0,0,"502,000","498,000","4,000","4,000"
00740B,富邦全球投等債,"13,000","1,111,000","-1,098,000",0.0,0.0,0.0,0,0,0,"246,530","2,000",0,"2,000","4,406,000","4,161,470","244,530","-851,470"
