日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-02,00632R,元大台灣50反1,72159,"13,256","1,175,028,483",16.42,16.44,16.18,16.18,0.00,-6444,0,-24199
2025-12-31,00632R,元大台灣50反1,29217,"5,270","481,621,194",16.57,16.57,16.44,16.46,0.00,444,0,-12347
2025-12-30,00632R,元大台灣50反1,28235,"3,454","467,705,192",16.59,16.62,16.49,16.52,0.00,117,0,7458
2025-12-29,00632R,元大台灣50反1,58450,"9,765","965,875,789",16.62,16.64,16.47,16.49,0.00,327,0,-2573
2025-12-26,00632R,元大台灣50反1,40766,"7,826","680,057,636",16.70,16.74,16.64,16.65,0.00,-444,0,-18002
2025-12-24,00632R,元大台灣50反1,17239,"3,167","289,204,969",16.74,16.82,16.73,16.79,0.00,0,0,-4683
2025-12-23,00632R,元大台灣50反1,25552,"4,034","429,603,284",16.83,16.84,16.78,16.82,0.00,0,0,-8226
2025-12-22,00632R,元大台灣50反1,46289,"7,607","781,063,127",16.89,16.94,16.83,16.87,0.00,2,0,439
2025-12-19,00632R,元大台灣50反1,39183,"5,956","670,848,233",17.16,17.17,17.06,17.10,0.00,110,0,-14109
2025-12-18,00632R,元大台灣50反1,42259,"5,119","731,976,515",17.33,17.38,17.24,17.29,0.00,-80,0,10681
2025-12-17,00632R,元大台灣50反1,29520,"3,480","508,075,520",17.19,17.29,17.14,17.27,0.00,100,0,-1709
2025-12-16,00632R,元大台灣50反1,109301,"11,148","1,884,232,096",17.15,17.34,17.14,17.20,0.00,-39617,0,73746
2025-12-15,00632R,元大台灣50反1,106342,"6,892","1,811,489,977",17.05,17.11,16.98,17.01,0.00,-60010,0,77613
2025-12-12,00632R,元大台灣50反1,78898,"4,690","1,328,219,843",16.81,16.89,16.78,16.82,0.00,-59944,0,56774
2025-12-11,00632R,元大台灣50反1,65904,"6,890","1,112,160,200",16.70,16.96,16.70,16.95,0.00,-31644,0,24232
2025-12-10,00632R,元大台灣50反1,27279,"5,325","458,093,371",16.83,16.86,16.75,16.77,0.00,-444,0,-8304
2025-12-09,00632R,元大台灣50反1,19597,"3,122","330,019,223",16.79,16.88,16.79,16.86,0.00,317,0,-1171
