日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2026-01-02,8016,矽創,884,929,"159,782,042",180.00,183.00,179.00,180.50,13.03,341,-381,-2
2025-12-31,8016,矽創,739,745,"132,786,727",178.00,180.50,178.00,179.50,12.96,409,-374,-51
2025-12-30,8016,矽創,588,689,"104,965,295",179.00,179.50,177.50,179.00,12.92,237,-351,0
2025-12-29,8016,矽創,550,636,"98,554,841",179.50,181.00,178.00,179.50,12.96,197,-332,0
2025-12-26,8016,矽創,545,718,"97,818,310",182.50,182.50,178.50,178.50,12.89,85,-298,-1
2025-12-24,8016,矽創,477,511,"86,911,872",183.00,184.00,181.00,181.50,13.10,-1,-172,5
2025-12-23,8016,矽創,351,647,"64,115,757",185.00,185.00,181.50,182.50,13.18,15,2,-3
2025-12-22,8016,矽創,382,440,"70,197,355",183.00,184.00,181.50,184.00,13.29,188,-2,-4
2025-12-19,8016,矽創,342,427,"62,119,060",184.00,184.00,180.50,181.00,13.07,-62,-1,1
2025-12-18,8016,矽創,392,904,"71,216,282",180.00,182.50,178.50,182.50,13.18,98,0,7
2025-12-17,8016,矽創,1253,966,"226,516,500",177.50,184.00,177.50,181.00,13.07,551,-560,3
2025-12-16,8016,矽創,852,"1,201","150,918,548",177.00,179.00,175.00,177.50,12.82,-340,207,-7
2025-12-15,8016,矽創,397,769,"71,162,720",179.50,180.00,177.50,178.50,12.89,-166,-55,-5
2025-12-12,8016,矽創,368,507,"67,729,447",184.50,185.00,182.50,182.50,13.18,-6,-1,-4
2025-12-11,8016,矽創,607,721,"111,222,253",181.50,184.50,181.50,183.00,13.21,-3,108,18
2025-12-10,8016,矽創,394,914,"71,482,846",182.50,182.50,180.00,180.50,13.03,-120,-4,4
2025-12-09,8016,矽創,1273,"2,481","234,597,893",185.00,188.00,182.00,182.00,13.14,-220,-22,0
2025-12-08,8016,矽創,339,432,"61,205,890",181.00,181.00,179.00,180.00,13.00,8,-26,0
