證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00403A,主動統一升級50  ,"71,988,018","5,945,532","66,042,486",0,0,0,0,0,0,"198,618,293","1,520,000","245,000","1,275,000","207,672,293","10,329,000","197,343,293","264,660,779"
6770,力積電          ,"164,496,962","50,522,729","113,974,233",0,0,0,0,0,0,"3,097,074","1,899,987","878,000","1,021,987","3,802,459","1,727,372","2,075,087","117,071,307"
00981A,主動統一台股增長,"58,297,489","16,010,770","42,286,719",0,0,0,0,0,0,"40,957,256","1,452,715","1,630,000","-177,285","52,113,288","10,978,747","41,134,541","83,243,975"
00685L,群益臺灣加權正2 ,"18,891,215","18,036,000","855,215",0,0,0,0,0,0,"73,973,706",0,"6,000,000","-6,000,000","96,389,731","16,416,025","79,973,706","74,828,921"
00631L,元大台灣50正2   ,"22,853,929","10,452,500","12,401,429",0,0,0,0,0,0,"57,219,022","2,084,000","400,000","1,684,000","73,924,178","18,389,156","55,535,022","69,620,451"
2324,仁寶            ,"84,400,279","33,375,789","51,024,490",0,0,0,"64,000","3,079","60,921","3,903,687","839,471","139,001","700,470","3,963,210","759,993","3,203,217","54,989,098"
00405A,主動富邦台灣龍耀,"8,527,206","2,543,000","5,984,206",0,0,0,0,0,0,"41,907,073","10,000",0,"10,000","50,019,361","8,122,288","41,897,073","47,891,279"
1605,華新            ,"61,348,569","17,056,465","44,292,104",0,0,0,0,"6,207","-6,207","-17,041","41,000","73,000","-32,000","736,162","721,203","14,959","44,268,856"
00407A,主動凱基台灣    ,"11,512,000","1,128,700","10,383,300",0,0,0,0,0,0,"31,752,840",0,"400,000","-400,000","42,012,853","9,860,013","32,152,840","42,136,140"
2317,鴻海            ,"38,081,758","8,711,097","29,370,661",0,0,0,"261,841","5,868","255,973","1,457,539","682,999","292,000","390,999","1,916,345","849,805","1,066,540","31,084,173"
00400A,主動國泰動能高息,"13,508,000","1,441,000","12,067,000",0,0,0,0,0,0,"16,894,708",0,0,0,"19,493,926","2,599,218","16,894,708","28,961,708"
009816,凱基台灣TOP50   ,"17,582,282","5,199,422","12,382,860",0,0,0,0,0,0,"16,127,078","3,101,000",0,"3,101,000","23,618,328","10,592,250","13,026,078","28,509,938"
00991A,主動復華未來50  ,"13,678,300","9,738,000","3,940,300",0,0,0,0,0,0,"23,723,382","1,919,192","225,000","1,694,192","27,739,425","5,710,235","22,029,190","27,663,682"
