日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2025-12-16,8077,洛碁,1.0,1,"42,800",42.80,42.80,42.80,42.80,,,,
2025-12-15,8077,洛碁,2.0,2,"87,750",43.85,43.90,43.85,43.90,,,,
2025-12-12,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-12-11,8077,洛碁,4.0,3,"176,300",44.35,44.35,43.80,43.80,,,,
2025-12-10,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-12-09,8077,洛碁,4.0,5,"192,282",46.45,46.45,44.50,44.60,,,,
2025-12-08,8077,洛碁,2.0,6,"95,655",46.95,46.95,46.45,46.45,,,,
2025-12-05,8077,洛碁,0.0,1,129,---,---,---, ---,,,,
2025-12-04,8077,洛碁,1.0,2,"46,975",46.45,46.45,46.45,46.45,,,,
2025-12-03,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-12-02,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-12-01,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-28,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-27,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-26,8077,洛碁,1.0,1,"46,000",46.00,46.00,46.00,46.00,,,,
2025-11-25,8077,洛碁,0.0,1,46,---,---,---, ---,,,,
2025-11-24,8077,洛碁,2.0,2,"91,900",45.80,46.10,45.80,46.10,,,,
2025-11-21,8077,洛碁,1.0,1,"46,100",46.10,46.10,46.10,46.10,,,,
2025-11-20,8077,洛碁,1.0,1,"46,300",46.30,46.30,46.30,46.30,,,,
2025-11-19,8077,洛碁,6.0,6,"273,900",45.90,45.90,45.40,45.40,,,,
2025-11-18,8077,洛碁,1.0,1,"45,850",45.85,45.85,45.85,45.85,,,,
2025-11-17,8077,洛碁,10.0,10,"469,127",43.10,44.55,43.10,44.55,,,,
2025-11-14,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-13,8077,洛碁,9.0,7,"394,271",42.90,45.50,42.90,45.50,,,,
2025-11-12,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-11,8077,洛碁,0.0,1,46,---,---,---, ---,,,,
2025-11-10,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-07,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-11-06,8077,洛碁,1.0,1,"46,450",46.45,46.45,46.45,46.45,,,,
2025-11-05,8077,洛碁,18.0,10,"816,691",45.40,45.40,45.00,45.40,,,,
2025-11-04,8077,洛碁,12.0,12,"529,891",43.85,45.30,43.80,45.30,,,,
2025-11-03,8077,洛碁,0.0,2,458,---,---,---, ---,,,,
2025-10-31,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-30,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-29,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-28,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-27,8077,洛碁,0.0,2,462,---,---,---, ---,,,,
2025-10-23,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-22,8077,洛碁,2.0,11,"105,752",46.40,46.40,46.40,46.40,,,,
2025-10-21,8077,洛碁,1.0,3,"46,381",45.30,45.30,45.30,45.30,,,,
2025-10-20,8077,洛碁,0.0,1,"9,361",---,---,---, ---,,,,
2025-10-17,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-16,8077,洛碁,4.0,6,"181,020",45.00,45.00,43.80,43.80,,,,
2025-10-15,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-14,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-13,8077,洛碁,0.0,0,0,---,---,---, ---,,,,
2025-10-09,8077,洛碁,0.0,4,"15,602",---,---,---, ---,,,,
2025-10-08,8077,洛碁,3.0,5,"147,250",46.10,46.10,46.05,46.05,,,,
2025-10-07,8077,洛碁,0.0,1,42,---,---,---, ---,,,,
2025-10-03,8077,洛碁,0.0,2,"2,255",---,---,---, ---,,,,
2025-10-02,8077,洛碁,1.0,6,"62,341",45.60,45.60,45.60,45.60,,,,
2025-10-01,8077,洛碁,1.0,2,"45,465",45.20,45.20,45.20,45.20,,,,
2025-09-30,8077,洛碁,0.0,2,"4,735",---,---,---, ---,,,,
