日期,股票代碼,股票名稱,成交張數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比,外陸資買賣超張數,投信買賣超張數,自營商買賣超張數
2025-09-17,2809,京城銀,20309,"3,665","1,151,213,874",57.20,57.40,56.50,56.60,18.74,4140,-1325,-188
2025-09-16,2809,京城銀,3868,"1,389","221,373,289",57.20,57.40,57.10,57.10,18.91,373,-408,2940
2025-09-15,2809,京城銀,1808,629,"103,697,706",57.70,57.70,57.20,57.20,18.94,-131,-103,1327
2025-09-12,2809,京城銀,3287,788,"189,117,816",57.40,57.70,57.40,57.60,19.07,-1387,-13,2992
2025-09-11,2809,京城銀,2796,"1,173","160,726,412",57.70,57.80,57.30,57.40,19.01,-1260,-40,1664
2025-09-10,2809,京城銀,3303,"1,092","189,681,158",57.40,57.60,57.20,57.60,19.07,-394,-5,2151
2025-09-09,2809,京城銀,2766,"1,134","158,424,403",57.00,57.40,57.00,57.40,19.01,619,-5,1306
2025-09-08,2809,京城銀,5019,"1,355","285,227,317",56.50,57.00,56.50,57.00,18.87,1026,-2,2582
2025-09-05,2809,京城銀,1218,439,"68,760,839",56.50,56.60,56.30,56.50,18.71,410,-4,357
2025-09-04,2809,京城銀,3748,794,"210,880,906",56.10,56.50,56.10,56.50,18.71,956,0,2083
2025-09-03,2809,京城銀,1186,456,"66,543,777",56.20,56.30,56.00,56.20,18.61,366,0,463
2025-09-02,2809,京城銀,4568,995,"255,445,970",55.50,56.10,55.40,56.10,18.58,452,0,2843
2025-09-01,2809,京城銀,1114,473,"61,828,623",55.30,55.60,55.30,55.50,18.38,271,-1,491
2025-08-29,2809,京城銀,1513,623,"83,737,242",55.60,55.60,55.10,55.30,18.31,-294,-8,424
2025-08-28,2809,京城銀,450,526,"25,034,687",55.50,55.70,55.40,55.40,18.34,162,-3,38
2025-08-27,2809,京城銀,1432,571,"79,706,449",55.40,55.80,55.20,55.60,18.41,159,0,565
2025-08-26,2809,京城銀,3072,863,"168,980,233",55.20,55.40,54.80,55.00,18.21,-107,0,412
2025-08-25,2809,京城銀,1353,885,"75,205,859",56.00,56.00,55.40,55.50,18.38,-360,0,438
2025-08-22,2809,京城銀,1519,623,"84,882,374",56.00,56.10,55.80,55.90,18.51,-765,0,851
2025-08-21,2809,京城銀,1800,"1,008","101,243,365",56.20,56.70,55.90,56.10,18.58,11,-4,-20
2025-08-20,2809,京城銀,3055,810,"171,392,415",56.00,56.20,55.90,56.20,18.61,-441,-2,86
2025-08-19,2809,京城銀,1789,674,"100,411,151",55.90,56.30,55.90,56.00,18.54,-721,-12,870
2025-08-18,2809,京城銀,1481,702,"83,042,707",56.10,56.40,55.90,56.10,18.58,-928,-4,57
2025-08-15,2809,京城銀,1431,451,"80,716,941",56.60,56.60,56.20,56.20,18.61,-176,-1,11
2025-08-14,2809,京城銀,2946,845,"166,206,557",56.30,56.60,56.20,56.50,18.71,653,-582,722
2025-08-13,2809,京城銀,3595,962,"202,307,651",56.30,56.40,56.20,56.20,18.61,432,-583,1937
2025-08-12,2809,京城銀,2253,"1,051","126,818,634",56.30,56.40,56.20,56.20,18.61,131,-530,1184
2025-08-11,2809,京城銀,1742,664,"98,029,539",56.30,56.40,56.20,56.20,18.61,62,-632,666
2025-08-08,2809,京城銀,937,552,"52,831,355",56.50,56.60,56.20,56.30,17.22,88,4,60
2025-08-07,2809,京城銀,1323,746,"74,587,289",56.20,56.50,56.10,56.50,17.28,183,-30,196
2025-08-06,2809,京城銀,2554,966,"143,193,992",55.70,56.30,55.70,56.10,17.16,386,-16,1100
2025-08-05,2809,京城銀,2282,937,"126,849,177",55.50,55.70,55.30,55.70,17.03,-938,0,1679
2025-08-04,2809,京城銀,3045,"1,123","167,783,255",54.40,55.40,54.40,55.40,16.94,911,0,1615
2025-08-01,2809,京城銀,4218,733,"229,001,549",53.90,54.70,53.80,54.70,16.73,-14,0,1694
2025-07-31,2809,京城銀,1982,565,"107,504,317",54.30,54.40,54.00,54.00,16.51,-566,-6,1176
2025-07-30,2809,京城銀,931,393,"50,634,091",54.10,54.50,54.10,54.40,16.64,91,-5,440
2025-07-29,2809,京城銀,2833,"1,146","153,812,022",54.70,54.70,54.00,54.10,16.54,-1074,-1,1135
2025-07-28,2809,京城銀,5672,"1,683","310,537,134",54.60,55.00,54.50,54.60,16.70,-441,0,2350
2025-07-25,2809,京城銀,1208,"1,016","65,348,308",53.90,54.20,53.80,54.20,16.57,-100,-4,-29
2025-07-24,2809,京城銀,2768,"1,276","149,529,040",54.00,54.30,53.80,54.00,16.51,-692,-5,4
2025-07-23,2809,京城銀,2897,"2,017","156,971,726",54.20,54.40,53.90,54.00,16.51,-734,-2,137
2025-07-22,2809,京城銀,2229,"1,268","120,362,391",54.00,54.20,53.80,54.00,16.51,-208,-9,23
2025-07-21,2809,京城銀,2069,872,"111,872,648",54.00,54.20,53.90,54.20,16.57,-653,0,10
2025-07-18,2809,京城銀,1316,809,"71,073,604",54.30,54.30,53.80,54.10,16.54,-348,-25,30
2025-07-17,2809,京城銀,1687,836,"91,397,748",54.40,54.40,54.00,54.10,16.54,-762,0,29
2025-07-16,2809,京城銀,1799,621,"97,345,563",53.90,54.40,53.80,54.40,16.64,595,-16,33
2025-07-15,2809,京城銀,2932,"1,020","158,037,113",53.90,54.30,53.70,54.10,16.54,-660,-4,-10
2025-07-14,2809,京城銀,1522,804,"82,138,986",53.60,54.20,53.60,54.00,16.51,669,-46,-60
2025-07-11,2809,京城銀,2594,"1,461","139,115,665",53.30,53.80,53.30,53.60,16.39,743,-700,0
2025-07-10,2809,京城銀,2847,"1,261","151,195,329",52.90,53.40,52.90,53.30,16.30,1204,-893,-44
2025-07-09,2809,京城銀,2367,934,"125,196,455",52.90,53.00,52.80,53.00,16.21,805,-1005,1
2025-07-08,2809,京城銀,3678,"1,240","194,470,289",52.80,53.00,52.60,53.00,16.21,2612,-1003,42
2025-07-07,2809,京城銀,6126,"1,615","321,959,210",52.60,52.90,52.30,52.60,16.09,2894,-4060,3
2025-07-04,2809,京城銀,6216,"2,180","326,567,262",52.60,52.80,52.40,52.50,16.06,3578,-4001,0
2025-07-03,2809,京城銀,5696,"3,923","298,283,094",52.30,52.60,52.20,52.50,16.06,3074,-4027,4
2025-07-02,2809,京城銀,5577,"1,705","292,636,124",52.70,53.00,52.20,52.50,16.06,3656,-4100,-17
2025-07-01,2809,京城銀,10347,"2,506","544,329,411",52.40,52.90,52.30,52.70,16.12,5743,-7442,66
2025-06-30,2809,京城銀,3282,"1,264","172,312,104",52.20,52.70,52.10,52.60,16.09,1223,-60,-65
2025-06-27,2809,京城銀,7988,"2,748","416,514,510",52.40,52.60,51.60,52.30,15.99,2289,-3273,-49
2025-06-26,2809,京城銀,5306,"2,545","276,851,229",52.20,52.50,51.90,52.10,15.93,2462,-2021,-77
2025-06-25,2809,京城銀,3512,"1,396","183,734,246",52.20,52.60,52.10,52.20,15.96,1617,-254,-3
2025-06-24,2809,京城銀,3638,"1,219","190,810,980",52.40,52.60,52.20,52.40,16.02,1055,-45,29
2025-06-23,2809,京城銀,2345,"1,112","122,163,327",51.80,52.30,51.50,52.30,15.99,1331,-30,51
2025-06-20,2809,京城銀,18710,"3,823","972,934,347",52.20,52.70,51.60,51.60,15.78,1606,-175,263
2025-06-19,2809,京城銀,1875,"1,449","97,030,473",51.90,52.00,51.60,51.90,15.87,-19,-12,-113
2025-06-18,2809,京城銀,1474,969,"76,529,062",52.00,52.20,51.70,52.10,15.93,161,-44,139
2025-06-17,2809,京城銀,1750,"1,189","91,253,541",52.00,52.40,51.90,52.10,15.93,545,-95,-52
2025-06-16,2809,京城銀,2573,"1,307","133,240,989",51.40,52.10,51.30,52.10,15.93,1597,-258,-37
2025-06-13,2809,京城銀,3561,"1,558","183,227,359",50.90,51.80,50.90,51.50,15.75,1821,-202,-138
